sanctuary,site,status,date,time,group.no,groupID,transect,length.mm,stage,school,comments,number,transect.id,school.id,row.id
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,160,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,1
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,100,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,2
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,200,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,3
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,130,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,4
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,140,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,5
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,100,F,1,NA,1,JAT.1,East_Salmon.1.JAT.1,6
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,90,F,2,NA,1,JAT.2,East_Salmon.2.JAT.2,7
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,70,F,3,NA,1,JAT.2,East_Salmon.2.JAT.3,8
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,80,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4,9
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,90,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4,10
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,100,F,4,NA,1,JAT.2,East_Salmon.2.JAT.4,11
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,120,F,5,NA,1,JAT.2,East_Salmon.2.JAT.5,12
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,200,F,5,NA,1,JAT.2,East_Salmon.2.JAT.5,13
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,100,F,6,NA,1,JAT.3,East_Salmon.3.JAT.6,14
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,40,J,7,NA,1,JAT.3,East_Salmon.3.JAT.7,15
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,200,F,8,NA,1,JAT.3,East_Salmon.3.JAT.8,16
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,50,F,9,NA,1,JAT.3,East_Salmon.3.JAT.9,17
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,120,F,9,NA,1,JAT.3,East_Salmon.3.JAT.9,18
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,130,F,10,NA,1,JAT.4,East_Salmon.4.JAT.10,19
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,170,F,10,NA,1,JAT.4,East_Salmon.4.JAT.10,20
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,110,F,10,NA,1,JAT.4,East_Salmon.4.JAT.10,21
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,11,NA,1,JAT.4,East_Salmon.4.JAT.11,22
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,11,NA,1,JAT.4,East_Salmon.4.JAT.11,23
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,100,F,11,NA,1,JAT.4,East_Salmon.4.JAT.11,24
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,130,F,11,NA,1,JAT.4,East_Salmon.4.JAT.11,25
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,60,F,12,NA,1,JAT.4,East_Salmon.4.JAT.12,26
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,12,NA,1,JAT.4,East_Salmon.4.JAT.12,27
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,250,M,13,NA,1,JAT.4,East_Salmon.4.JAT.13,28
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,200,F,13,NA,1,JAT.4,East_Salmon.4.JAT.13,29
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,170,F,13,NA,1,JAT.4,East_Salmon.4.JAT.13,30
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,14,NA,1,JAT.4,East_Salmon.4.JAT.14,31
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,14,NA,1,JAT.4,East_Salmon.4.JAT.14,32
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,160,F,15,NA,1,JAT.4,East_Salmon.4.JAT.15,33
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,60,F,16,NA,1,JAT.4,East_Salmon.4.JAT.16,34
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,17,NA,1,JAT.4,East_Salmon.4.JAT.17,35
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,17,NA,1,JAT.4,East_Salmon.4.JAT.17,36
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,90,F,17,NA,1,JAT.4,East_Salmon.4.JAT.17,37
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,220,F,18,NA,1,JAT.4,East_Salmon.4.JAT.18,38
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,300,M,19,NA,1,JAT.5,East_Salmon.5.JAT.19,39
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,250,F,19,NA,1,JAT.5,East_Salmon.5.JAT.19,40
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,270,F,19,NA,1,JAT.5,East_Salmon.5.JAT.19,41
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,150,F,19,NA,1,JAT.5,East_Salmon.5.JAT.19,42
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,100,F,19,NA,1,JAT.5,East_Salmon.5.JAT.19,43
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,19,NA,1,JAT.5,East_Salmon.5.JAT.19,44
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,200,F,20,NA,1,JAT.5,East_Salmon.5.JAT.20,45
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,21,NA,1,JAT.5,East_Salmon.5.JAT.21,46
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,22,NA,1,JAT.5,East_Salmon.5.JAT.22,47
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,130,F,23,NA,1,JAT.5,East_Salmon.5.JAT.23,48
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,300,F,24,NA,1,JAT.5,East_Salmon.5.JAT.24,49
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,24,NA,1,JAT.5,East_Salmon.5.JAT.24,50
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,180,F,24,NA,1,JAT.5,East_Salmon.5.JAT.24,51
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,25,NA,1,JAT.5,East_Salmon.5.JAT.25,52
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,150,F,25,NA,1,JAT.5,East_Salmon.5.JAT.25,53
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,1,75,F,1,started 9am,1,EP.1,East_Salmon.1.EP.1,54
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,1,70,F,1,NA,1,EP.1,East_Salmon.1.EP.1,55
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,1,70,F,1,NA,1,EP.1,East_Salmon.1.EP.1,56
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,50,F,2,NA,1,EP.2,East_Salmon.2.EP.2,57
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,50,F,3,NA,1,EP.2,East_Salmon.2.EP.3,58
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,60,F,4,NA,1,EP.2,East_Salmon.2.EP.4,59
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,50,F,5,NA,1,EP.2,East_Salmon.2.EP.5,60
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,60,F,5,NA,1,EP.2,East_Salmon.2.EP.5,61
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,200,F,5,NA,1,EP.2,East_Salmon.2.EP.5,62
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,60,F,6,NA,1,EP.3,East_Salmon.3.EP.6,63
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,70,F,6,NA,1,EP.3,East_Salmon.3.EP.6,64
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,70,F,6,NA,1,EP.3,East_Salmon.3.EP.6,65
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,100,F,7,NA,1,EP.3,East_Salmon.3.EP.7,66
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,90,F,8,NA,1,EP.3,East_Salmon.3.EP.8,67
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,85,F,9,NA,1,EP.3,East_Salmon.3.EP.9,68
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,80,F,10,NA,1,EP.4,East_Salmon.4.EP.10,69
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,50,F,10,NA,1,EP.4,East_Salmon.4.EP.10,70
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,100,F,10,NA,1,EP.4,East_Salmon.4.EP.10,71
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,150,F,10,NA,1,EP.4,East_Salmon.4.EP.10,72
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,60,F,10,NA,1,EP.4,East_Salmon.4.EP.10,73
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,60,F,10,NA,1,EP.4,East_Salmon.4.EP.10,74
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,60,F,10,NA,1,EP.4,East_Salmon.4.EP.10,75
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,50,F,11,NA,1,EP.5,East_Salmon.5.EP.11,76
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,60,F,11,NA,1,EP.5,East_Salmon.5.EP.11,77
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,60,F,11,NA,1,EP.5,East_Salmon.5.EP.11,78
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,80,F,11,NA,1,EP.5,East_Salmon.5.EP.11,79
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,90,F,11,NA,1,EP.5,East_Salmon.5.EP.11,80
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,100,F,11,NA,1,EP.5,East_Salmon.5.EP.11,81
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,50,F,11,NA,1,EP.5,East_Salmon.5.EP.11,82
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,75,F,11,NA,1,EP.5,East_Salmon.5.EP.11,83
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,60,F,11,NA,1,EP.5,East_Salmon.5.EP.11,84
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,120,F,11,NA,1,EP.5,East_Salmon.5.EP.11,85
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,130,F,11,NA,1,EP.5,East_Salmon.5.EP.11,86
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,40,F,11,NA,1,EP.5,East_Salmon.5.EP.11,87
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,5,50,F,11,NA,1,EP.5,East_Salmon.5.EP.11,88
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,1,150,F,1,NA,1,ST.1,East_Salmon.1.ST.1,89
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,1,120,F,2,NA,1,ST.1,East_Salmon.1.ST.2,90
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,1,110,F,3,NA,1,ST.1,East_Salmon.1.ST.3,91
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,1,150,F,4,NA,1,ST.1,East_Salmon.1.ST.4,92
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,1,120,F,5,NA,1,ST.1,East_Salmon.1.ST.5,93
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,2,110,F,6,More sandy,1,ST.2,East_Salmon.2.ST.6,94
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,2,100,F,7,More sandy,1,ST.2,East_Salmon.2.ST.7,95
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,2,90,F,8,More sandy,1,ST.2,East_Salmon.2.ST.8,96
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,2,120,F,9,More sandy,1,ST.2,East_Salmon.2.ST.9,97
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,250,F,10,NA,1,ST.3,East_Salmon.3.ST.10,98
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,120,F,11,NA,1,ST.3,East_Salmon.3.ST.11,99
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,220,F,12,NA,1,ST.3,East_Salmon.3.ST.12,100
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,110,F,12,NA,1,ST.3,East_Salmon.3.ST.12,101
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,120,F,12,NA,1,ST.3,East_Salmon.3.ST.12,102
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,130,F,12,NA,1,ST.3,East_Salmon.3.ST.12,103
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,130,F,13,NA,1,ST.3,East_Salmon.3.ST.13,104
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,120,F,14,NA,1,ST.3,East_Salmon.3.ST.14,105
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,3,280,M,15,NA,1,ST.3,East_Salmon.3.ST.15,106
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,4,130,F,16,More reef than reef edge,1,ST.4,East_Salmon.4.ST.16,107
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,300,M,17,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.17,108
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,120,F,17,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.17,109
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,120,F,17,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.17,110
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,120,F,17,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.17,111
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,110,F,17,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.17,112
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,140,F,18,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.18,113
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,310,M,19,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.19,114
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,150,F,19,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.19,115
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,130,F,19,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.19,116
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,310,M,20,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.20,117
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,290,M,21,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.21,118
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,250,F,21,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.21,119
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,240,F,21,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.21,120
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,140,F,22,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.22,121
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,330,M,23,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.23,122
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,240,F,23,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.23,123
Parker_Pt,East_Salmon,No-take,1/17/2019,930,1,ST,5,130,F,23,Males appeared to increase in abundance with depth,1,ST.5,East_Salmon.5.ST.23,124
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,1,NA,NA,NA,NA,0,AT.1,Geordie_Bay.1.AT.NA,125
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,2,160,F,1,NA,1,AT.2,Geordie_Bay.2.AT.1,126
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,2,160,F,1,NA,1,AT.2,Geordie_Bay.2.AT.1,127
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,2,220,F,2,NA,1,AT.2,Geordie_Bay.2.AT.2,128
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,3,200,F,3,NA,1,AT.3,Geordie_Bay.3.AT.3,129
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,3,110,F,4,NA,1,AT.3,Geordie_Bay.3.AT.4,130
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,4,400,M,5,NA,1,AT.4,Geordie_Bay.4.AT.5,131
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,4,250,F,5,NA,1,AT.4,Geordie_Bay.4.AT.5,132
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,5,250,F,6,NA,1,AT.5,Geordie_Bay.5.AT.6,133
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,5,150,F,7,NA,1,AT.5,Geordie_Bay.5.AT.7,134
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,5,150,F,7,NA,1,AT.5,Geordie_Bay.5.AT.7,135
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,5,100,F,8,NA,1,AT.5,Geordie_Bay.5.AT.8,136
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,AT,5,150,F,8,NA,1,AT.5,Geordie_Bay.5.AT.8,137
Armstrong,Geordie_Bay,Fished,1/17/2019,1531,1,AT,5,100,F,8,NA,1,AT.5,Geordie_Bay.5.AT.8,138
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,EPJ,1,NA,NA,NA,NA,0,EPJ.1,Geordie_Bay.1.EPJ.NA,139
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,EPJ,2,NA,NA,NA,NA,0,EPJ.2,Geordie_Bay.2.EPJ.NA,140
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,EPJ,3,90,F,1,NA,1,EPJ.3,Geordie_Bay.3.EPJ.1,141
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,EPJ,3,90,F,2,NA,1,EPJ.3,Geordie_Bay.3.EPJ.2,142
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,EPJ,3,50,F,3,NA,1,EPJ.3,Geordie_Bay.3.EPJ.3,143
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,EPJ,4,NA,NA,NA,NA,0,EPJ.4,Geordie_Bay.4.EPJ.NA,144
Armstrong,Geordie_Bay,Fished,1/17/2019,1530,1,EPJ,5,NA,NA,NA,NA,0,EPJ.5,Geordie_Bay.5.EPJ.NA,145
Armstrong,Geordie_Bay,Fished,1/17/2019,1600,1,ST,1,110,F,1,NA,1,ST.1,Geordie_Bay.1.ST.1,146
Armstrong,Geordie_Bay,Fished,1/17/2019,1600,1,ST,1,90,F,2,NA,1,ST.1,Geordie_Bay.1.ST.2,147
Armstrong,Geordie_Bay,Fished,1/17/2019,1600,1,ST,1,170,F,3,NA,1,ST.1,Geordie_Bay.1.ST.3,148
Armstrong,Geordie_Bay,Fished,1/17/2019,1600,1,ST,1,150,F,4,NA,1,ST.1,Geordie_Bay.1.ST.4,149
Armstrong,Geordie_Bay,Fished,1/17/2019,1600,1,ST,2,NA,NA,NA,No bare sand,0,ST.2,Geordie_Bay.2.ST.NA,150
Armstrong,Geordie_Bay,Fished,1/17/2019,1600,1,ST,3,NA,NA,NA,No bare sand,0,ST.3,Geordie_Bay.3.ST.NA,151
Armstrong,Geordie_Bay,Fished,1/17/2019,1600,1,ST,4,NA,NA,NA,No bare sand,0,ST.4,Geordie_Bay.4.ST.NA,152
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,1,200,F,1,NA,1,AT.1,East_Strickland.1.AT.1,153
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,2,100,F,2,NA,1,AT.2,East_Strickland.2.AT.2,154
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,3,200,M,3,NA,1,AT.3,East_Strickland.3.AT.3,155
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,3,200,F,4,NA,1,AT.3,East_Strickland.3.AT.4,156
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,4,110,F,5,NA,1,AT.4,East_Strickland.4.AT.5,157
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,5,200,F,6,NA,1,AT.5,East_Strickland.5.AT.6,158
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,5,200,F,6,NA,1,AT.5,East_Strickland.5.AT.6,159
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,5,200,F,6,NA,1,AT.5,East_Strickland.5.AT.6,160
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,5,200,F,6,NA,1,AT.5,East_Strickland.5.AT.6,161
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,5,200,F,6,NA,1,AT.5,East_Strickland.5.AT.6,162
Green_Island,East_Strickland,Fished,1/18/2019,815,1,AT,5,150,F,7,NA,1,AT.5,East_Strickland.5.AT.7,163
