"row.id","length.mm","","sanctuary","status","site"
1,160,NA,"Parker_Pt","No-take","East_Salmon"
2,100,NA,"Parker_Pt","No-take","East_Salmon"
3,200,NA,"Parker_Pt","No-take","East_Salmon"
4,130,NA,"Parker_Pt","No-take","East_Salmon"
5,140,NA,"Parker_Pt","No-take","East_Salmon"
6,100,NA,"Parker_Pt","No-take","East_Salmon"
7,90,NA,"Parker_Pt","No-take","East_Salmon"
8,70,NA,"Parker_Pt","No-take","East_Salmon"
9,80,NA,"Parker_Pt","No-take","East_Salmon"
10,90,NA,"Parker_Pt","No-take","East_Salmon"
11,100,NA,"Parker_Pt","No-take","East_Salmon"
12,120,NA,"Parker_Pt","No-take","East_Salmon"
13,200,NA,"Parker_Pt","No-take","East_Salmon"
14,100,NA,"Parker_Pt","No-take","East_Salmon"
15,40,NA,"Parker_Pt","No-take","East_Salmon"
16,200,NA,"Parker_Pt","No-take","East_Salmon"
17,50,NA,"Parker_Pt","No-take","East_Salmon"
18,120,NA,"Parker_Pt","No-take","East_Salmon"
19,130,NA,"Parker_Pt","No-take","East_Salmon"
20,170,NA,"Parker_Pt","No-take","East_Salmon"
21,110,NA,"Parker_Pt","No-take","East_Salmon"
22,70,NA,"Parker_Pt","No-take","East_Salmon"
23,80,NA,"Parker_Pt","No-take","East_Salmon"
24,100,NA,"Parker_Pt","No-take","East_Salmon"
25,130,NA,"Parker_Pt","No-take","East_Salmon"
26,60,NA,"Parker_Pt","No-take","East_Salmon"
27,80,NA,"Parker_Pt","No-take","East_Salmon"
28,250,NA,"Parker_Pt","No-take","East_Salmon"
29,200,NA,"Parker_Pt","No-take","East_Salmon"
30,170,NA,"Parker_Pt","No-take","East_Salmon"
31,80,NA,"Parker_Pt","No-take","East_Salmon"
32,70,NA,"Parker_Pt","No-take","East_Salmon"
33,160,NA,"Parker_Pt","No-take","East_Salmon"
34,60,NA,"Parker_Pt","No-take","East_Salmon"
35,80,NA,"Parker_Pt","No-take","East_Salmon"
36,70,NA,"Parker_Pt","No-take","East_Salmon"
37,90,NA,"Parker_Pt","No-take","East_Salmon"
38,220,NA,"Parker_Pt","No-take","East_Salmon"
39,300,NA,"Parker_Pt","No-take","East_Salmon"
40,250,NA,"Parker_Pt","No-take","East_Salmon"
41,270,NA,"Parker_Pt","No-take","East_Salmon"
42,150,NA,"Parker_Pt","No-take","East_Salmon"
43,100,NA,"Parker_Pt","No-take","East_Salmon"
44,120,NA,"Parker_Pt","No-take","East_Salmon"
45,200,NA,"Parker_Pt","No-take","East_Salmon"
46,120,NA,"Parker_Pt","No-take","East_Salmon"
47,120,NA,"Parker_Pt","No-take","East_Salmon"
48,130,NA,"Parker_Pt","No-take","East_Salmon"
49,300,NA,"Parker_Pt","No-take","East_Salmon"
50,120,NA,"Parker_Pt","No-take","East_Salmon"
51,180,NA,"Parker_Pt","No-take","East_Salmon"
52,120,NA,"Parker_Pt","No-take","East_Salmon"
53,150,NA,"Parker_Pt","No-take","East_Salmon"
54,75,NA,"Parker_Pt","No-take","East_Salmon"
55,70,NA,"Parker_Pt","No-take","East_Salmon"
56,70,NA,"Parker_Pt","No-take","East_Salmon"
57,50,NA,"Parker_Pt","No-take","East_Salmon"
58,50,NA,"Parker_Pt","No-take","East_Salmon"
59,60,NA,"Parker_Pt","No-take","East_Salmon"
60,50,NA,"Parker_Pt","No-take","East_Salmon"
61,60,NA,"Parker_Pt","No-take","East_Salmon"
62,200,NA,"Parker_Pt","No-take","East_Salmon"
63,60,NA,"Parker_Pt","No-take","East_Salmon"
64,70,NA,"Parker_Pt","No-take","East_Salmon"
65,70,NA,"Parker_Pt","No-take","East_Salmon"
66,100,NA,"Parker_Pt","No-take","East_Salmon"
67,90,NA,"Parker_Pt","No-take","East_Salmon"
68,85,NA,"Parker_Pt","No-take","East_Salmon"
69,80,NA,"Parker_Pt","No-take","East_Salmon"
70,50,NA,"Parker_Pt","No-take","East_Salmon"
71,100,NA,"Parker_Pt","No-take","East_Salmon"
72,150,NA,"Parker_Pt","No-take","East_Salmon"
73,60,NA,"Parker_Pt","No-take","East_Salmon"
74,60,NA,"Parker_Pt","No-take","East_Salmon"
75,60,NA,"Parker_Pt","No-take","East_Salmon"
76,50,NA,"Parker_Pt","No-take","East_Salmon"
77,60,NA,"Parker_Pt","No-take","East_Salmon"
78,60,NA,"Parker_Pt","No-take","East_Salmon"
79,80,NA,"Parker_Pt","No-take","East_Salmon"
80,90,NA,"Parker_Pt","No-take","East_Salmon"
81,100,NA,"Parker_Pt","No-take","East_Salmon"
82,50,NA,"Parker_Pt","No-take","East_Salmon"
83,75,NA,"Parker_Pt","No-take","East_Salmon"
84,60,NA,"Parker_Pt","No-take","East_Salmon"
85,120,NA,"Parker_Pt","No-take","East_Salmon"
86,130,NA,"Parker_Pt","No-take","East_Salmon"
87,40,NA,"Parker_Pt","No-take","East_Salmon"
88,50,NA,"Parker_Pt","No-take","East_Salmon"
89,150,NA,"Parker_Pt","No-take","East_Salmon"
90,120,NA,"Parker_Pt","No-take","East_Salmon"
91,110,NA,"Parker_Pt","No-take","East_Salmon"
92,150,NA,"Parker_Pt","No-take","East_Salmon"
93,120,NA,"Parker_Pt","No-take","East_Salmon"
94,110,NA,"Parker_Pt","No-take","East_Salmon"
95,100,NA,"Parker_Pt","No-take","East_Salmon"
96,90,NA,"Parker_Pt","No-take","East_Salmon"
97,120,NA,"Parker_Pt","No-take","East_Salmon"
98,250,NA,"Parker_Pt","No-take","East_Salmon"
99,120,NA,"Parker_Pt","No-take","East_Salmon"
100,220,NA,"Parker_Pt","No-take","East_Salmon"
101,110,NA,"Parker_Pt","No-take","East_Salmon"
102,120,NA,"Parker_Pt","No-take","East_Salmon"
103,130,NA,"Parker_Pt","No-take","East_Salmon"
104,130,NA,"Parker_Pt","No-take","East_Salmon"
105,120,NA,"Parker_Pt","No-take","East_Salmon"
106,280,NA,"Parker_Pt","No-take","East_Salmon"
107,130,NA,"Parker_Pt","No-take","East_Salmon"
108,300,NA,"Parker_Pt","No-take","East_Salmon"
109,120,NA,"Parker_Pt","No-take","East_Salmon"
110,120,NA,"Parker_Pt","No-take","East_Salmon"
111,120,NA,"Parker_Pt","No-take","East_Salmon"
112,110,NA,"Parker_Pt","No-take","East_Salmon"
113,140,NA,"Parker_Pt","No-take","East_Salmon"
114,310,NA,"Parker_Pt","No-take","East_Salmon"
115,150,NA,"Parker_Pt","No-take","East_Salmon"
116,130,NA,"Parker_Pt","No-take","East_Salmon"
117,310,NA,"Parker_Pt","No-take","East_Salmon"
118,290,NA,"Parker_Pt","No-take","East_Salmon"
119,250,NA,"Parker_Pt","No-take","East_Salmon"
120,240,NA,"Parker_Pt","No-take","East_Salmon"
121,140,NA,"Parker_Pt","No-take","East_Salmon"
122,330,NA,"Parker_Pt","No-take","East_Salmon"
123,240,NA,"Parker_Pt","No-take","East_Salmon"
124,130,NA,"Parker_Pt","No-take","East_Salmon"
126,160,NA,"Armstrong","Fished","Geordie_Bay"
127,160,NA,"Armstrong","Fished","Geordie_Bay"
128,220,NA,"Armstrong","Fished","Geordie_Bay"
129,200,NA,"Armstrong","Fished","Geordie_Bay"
130,110,NA,"Armstrong","Fished","Geordie_Bay"
131,400,NA,"Armstrong","Fished","Geordie_Bay"
132,250,NA,"Armstrong","Fished","Geordie_Bay"
133,250,NA,"Armstrong","Fished","Geordie_Bay"
134,150,NA,"Armstrong","Fished","Geordie_Bay"
135,150,NA,"Armstrong","Fished","Geordie_Bay"
136,100,NA,"Armstrong","Fished","Geordie_Bay"
137,150,NA,"Armstrong","Fished","Geordie_Bay"
138,100,NA,"Armstrong","Fished","Geordie_Bay"
141,90,NA,"Armstrong","Fished","Geordie_Bay"
142,90,NA,"Armstrong","Fished","Geordie_Bay"
143,50,NA,"Armstrong","Fished","Geordie_Bay"
146,110,NA,"Armstrong","Fished","Geordie_Bay"
147,90,NA,"Armstrong","Fished","Geordie_Bay"
148,170,NA,"Armstrong","Fished","Geordie_Bay"
149,150,NA,"Armstrong","Fished","Geordie_Bay"
153,200,NA,"Green_Island","Fished","East_Strickland"
154,100,NA,"Green_Island","Fished","East_Strickland"
155,200,NA,"Green_Island","Fished","East_Strickland"
156,200,NA,"Green_Island","Fished","East_Strickland"
157,110,NA,"Green_Island","Fished","East_Strickland"
158,200,NA,"Green_Island","Fished","East_Strickland"
159,200,NA,"Green_Island","Fished","East_Strickland"
160,200,NA,"Green_Island","Fished","East_Strickland"
161,200,NA,"Green_Island","Fished","East_Strickland"
162,200,NA,"Green_Island","Fished","East_Strickland"
163,150,NA,"Green_Island","Fished","East_Strickland"
164,80,NA,"Green_Island","Fished","East_Strickland"
165,200,NA,"Green_Island","Fished","East_Strickland"
166,110,NA,"Green_Island","Fished","East_Strickland"
167,190,NA,"Green_Island","Fished","East_Strickland"
168,180,NA,"Green_Island","Fished","East_Strickland"
169,120,NA,"Green_Island","Fished","East_Strickland"
170,90,NA,"Green_Island","Fished","East_Strickland"
171,100,NA,"Green_Island","Fished","East_Strickland"
172,200,NA,"Green_Island","Fished","East_Strickland"
173,100,NA,"Green_Island","Fished","East_Strickland"
174,60,NA,"Green_Island","Fished","East_Strickland"
175,80,NA,"Green_Island","Fished","East_Strickland"
176,40,NA,"Green_Island","Fished","East_Strickland"
177,75,NA,"Green_Island","Fished","East_Strickland"
178,60,NA,"Green_Island","Fished","East_Strickland"
179,55,NA,"Green_Island","Fished","East_Strickland"
180,50,NA,"Green_Island","Fished","East_Strickland"
181,80,NA,"Green_Island","Fished","East_Strickland"
182,180,NA,"Green_Island","Fished","East_Strickland"
183,120,NA,"Green_Island","Fished","East_Strickland"
184,100,NA,"Green_Island","Fished","East_Strickland"
185,110,NA,"Green_Island","Fished","East_Strickland"
186,180,NA,"Green_Island","Fished","East_Strickland"
187,290,NA,"Green_Island","Fished","East_Strickland"
188,180,NA,"Green_Island","Fished","East_Strickland"
189,150,NA,"Green_Island","Fished","East_Strickland"
190,190,NA,"Green_Island","Fished","East_Strickland"
191,120,NA,"Green_Island","Fished","East_Strickland"
192,130,NA,"Green_Island","Fished","East_Strickland"
193,160,NA,"Green_Island","Fished","East_Strickland"
194,110,NA,"Green_Island","Fished","East_Strickland"
195,120,NA,"Green_Island","Fished","East_Strickland"
196,120,NA,"Green_Island","Fished","East_Strickland"
197,190,NA,"Green_Island","Fished","East_Strickland"
198,320,NA,"Green_Island","Fished","East_Strickland"
199,180,NA,"Green_Island","Fished","East_Strickland"
200,150,NA,"Green_Island","Fished","East_Strickland"
201,140,NA,"Green_Island","Fished","East_Strickland"
202,130,NA,"Green_Island","Fished","East_Strickland"
203,180,NA,"Green_Island","Fished","East_Strickland"
204,120,NA,"Green_Island","Fished","East_Strickland"
205,120,NA,"Green_Island","Fished","East_Strickland"
206,110,NA,"Green_Island","Fished","East_Strickland"
207,110,NA,"Green_Island","Fished","East_Strickland"
208,110,NA,"Green_Island","Fished","East_Strickland"
209,110,NA,"Green_Island","Fished","East_Strickland"
210,120,NA,"Green_Island","Fished","East_Strickland"
211,120,NA,"Green_Island","Fished","East_Strickland"
212,110,NA,"Green_Island","Fished","East_Strickland"
213,220,NA,"Green_Island","Fished","East_Strickland"
214,250,NA,"Green_Island","Fished","East_Strickland"
215,120,NA,"Green_Island","No-take","Green_Island"
216,130,NA,"Green_Island","No-take","Green_Island"
217,70,NA,"Green_Island","No-take","Green_Island"
218,80,NA,"Green_Island","No-take","Green_Island"
219,180,NA,"Green_Island","No-take","Green_Island"
220,90,NA,"Green_Island","No-take","Green_Island"
221,150,NA,"Green_Island","No-take","Green_Island"
222,250,NA,"Green_Island","No-take","Green_Island"
223,300,NA,"Green_Island","No-take","Green_Island"
224,80,NA,"Green_Island","No-take","Green_Island"
225,90,NA,"Green_Island","No-take","Green_Island"
226,250,NA,"Green_Island","No-take","Green_Island"
227,90,NA,"Green_Island","No-take","Green_Island"
228,80,NA,"Green_Island","No-take","Green_Island"
229,70,NA,"Green_Island","No-take","Green_Island"
230,250,NA,"Green_Island","No-take","Green_Island"
231,120,NA,"Green_Island","No-take","Green_Island"
232,70,NA,"Green_Island","No-take","Green_Island"
233,170,NA,"Green_Island","No-take","Green_Island"
234,110,NA,"Green_Island","No-take","Green_Island"
235,120,NA,"Green_Island","No-take","Green_Island"
236,140,NA,"Green_Island","No-take","Green_Island"
237,60,NA,"Green_Island","No-take","Green_Island"
238,70,NA,"Green_Island","No-take","Green_Island"
239,250,NA,"Green_Island","No-take","Green_Island"
240,270,NA,"Green_Island","No-take","Green_Island"
241,70,NA,"Green_Island","No-take","Green_Island"
242,60,NA,"Green_Island","No-take","Green_Island"
243,180,NA,"Green_Island","No-take","Green_Island"
244,200,NA,"Green_Island","No-take","Green_Island"
245,200,NA,"Green_Island","No-take","Green_Island"
246,150,NA,"Green_Island","No-take","Green_Island"
247,300,NA,"Green_Island","No-take","Green_Island"
248,50,NA,"Green_Island","No-take","Green_Island"
249,40,NA,"Green_Island","No-take","Green_Island"
250,40,NA,"Green_Island","No-take","Green_Island"
251,80,NA,"Green_Island","No-take","Green_Island"
252,70,NA,"Green_Island","No-take","Green_Island"
253,75,NA,"Green_Island","No-take","Green_Island"
254,60,NA,"Green_Island","No-take","Green_Island"
255,75,NA,"Green_Island","No-take","Green_Island"
256,200,NA,"Green_Island","No-take","Green_Island"
257,75,NA,"Green_Island","No-take","Green_Island"
258,65,NA,"Green_Island","No-take","Green_Island"
259,50,NA,"Green_Island","No-take","Green_Island"
260,40,NA,"Green_Island","No-take","Green_Island"
261,100,NA,"Green_Island","No-take","Green_Island"
262,180,NA,"Green_Island","No-take","Green_Island"
263,40,NA,"Green_Island","No-take","Green_Island"
264,50,NA,"Green_Island","No-take","Green_Island"
265,190,NA,"Green_Island","No-take","Green_Island"
266,100,NA,"Green_Island","No-take","Green_Island"
267,100,NA,"Green_Island","No-take","Green_Island"
268,80,NA,"Green_Island","No-take","Green_Island"
269,50,NA,"Green_Island","No-take","Green_Island"
270,180,NA,"Green_Island","No-take","Green_Island"
271,200,NA,"Green_Island","No-take","Green_Island"
272,70,NA,"Green_Island","No-take","Green_Island"
273,60,NA,"Green_Island","No-take","Green_Island"
274,60,NA,"Green_Island","No-take","Green_Island"
275,40,NA,"Green_Island","No-take","Green_Island"
276,200,NA,"Green_Island","No-take","Green_Island"
277,190,NA,"Green_Island","No-take","Green_Island"
278,180,NA,"Green_Island","No-take","Green_Island"
279,80,NA,"Green_Island","No-take","Green_Island"
280,40,NA,"Green_Island","No-take","Green_Island"
281,220,NA,"Green_Island","No-take","Green_Island"
282,320,NA,"Green_Island","No-take","Green_Island"
283,150,NA,"Green_Island","No-take","Green_Island"
284,130,NA,"Green_Island","No-take","Green_Island"
286,150,NA,"Green_Island","No-take","Green_Island"
287,280,NA,"Green_Island","No-take","Green_Island"
288,110,NA,"Green_Island","No-take","Green_Island"
289,110,NA,"Green_Island","No-take","Green_Island"
290,110,NA,"Green_Island","No-take","Green_Island"
291,120,NA,"Green_Island","No-take","Green_Island"
292,120,NA,"Green_Island","No-take","Green_Island"
293,120,NA,"Green_Island","No-take","Green_Island"
294,110,NA,"Green_Island","No-take","Green_Island"
295,110,NA,"Green_Island","No-take","Green_Island"
296,110,NA,"Green_Island","No-take","Green_Island"
297,110,NA,"Green_Island","No-take","Green_Island"
298,150,NA,"Green_Island","No-take","Green_Island"
299,130,NA,"Green_Island","No-take","Green_Island"
300,130,NA,"Green_Island","No-take","Green_Island"
301,180,NA,"Green_Island","No-take","Green_Island"
302,320,NA,"Green_Island","No-take","Green_Island"
303,150,NA,"Green_Island","No-take","Green_Island"
304,140,NA,"Green_Island","No-take","Green_Island"
305,220,NA,"Green_Island","No-take","Green_Island"
306,180,NA,"Green_Island","No-take","Green_Island"
307,100,NA,"Armstrong","Fished","Ricey_Beach"
308,150,NA,"Armstrong","Fished","Ricey_Beach"
309,150,NA,"Armstrong","Fished","Ricey_Beach"
310,150,NA,"Armstrong","Fished","Ricey_Beach"
311,150,NA,"Armstrong","Fished","Ricey_Beach"
312,100,NA,"Armstrong","Fished","Ricey_Beach"
313,250,NA,"Armstrong","Fished","Ricey_Beach"
314,150,NA,"Armstrong","Fished","Ricey_Beach"
315,150,NA,"Armstrong","Fished","Ricey_Beach"
316,150,NA,"Armstrong","Fished","Ricey_Beach"
317,150,NA,"Armstrong","Fished","Ricey_Beach"
318,150,NA,"Armstrong","Fished","Ricey_Beach"
319,150,NA,"Armstrong","Fished","Ricey_Beach"
320,150,NA,"Armstrong","Fished","Ricey_Beach"
321,150,NA,"Armstrong","Fished","Ricey_Beach"
322,150,NA,"Armstrong","Fished","Ricey_Beach"
323,350,NA,"Armstrong","Fished","Ricey_Beach"
325,150,NA,"Armstrong","Fished","Ricey_Beach"
326,150,NA,"Armstrong","Fished","Ricey_Beach"
327,150,NA,"Armstrong","Fished","Ricey_Beach"
328,150,NA,"Armstrong","Fished","Ricey_Beach"
